2026-07-31 16:05:54 [INFO] === ablation  run_dir=C:\Users\user\Desktop\ansyu_li\tree_former\runs\20260731_143558 ===
2026-07-31 16:05:54 [INFO] Device: cuda  N=300
2026-07-31 16:05:54 [INFO] 
==================================================
  Ablation: Full
==================================================
2026-07-31 16:05:54 [INFO]   Params: 253.1K
2026-07-31 16:05:57 [INFO]   [Full] Epoch   1/100 | Train: 26380.03815 | Val: 10633.81481 <- best | elapsed 2.7s | GPU 30/24564MB
2026-07-31 16:06:00 [INFO]   [Full] Epoch   2/100 | Train: 10350.56323 | Val: 8218.71678 <- best | elapsed 5.0s | GPU 30/24564MB
2026-07-31 16:06:03 [INFO]   [Full] Epoch   3/100 | Train: 8891.65136 | Val: 9294.87652 | elapsed 7.8s | GPU 30/24564MB
2026-07-31 16:06:06 [INFO]   [Full] Epoch   4/100 | Train: 7812.70583 | Val: 7268.38705 <- best | elapsed 10.8s | GPU 30/24564MB
2026-07-31 16:06:08 [INFO]   [Full] Epoch   5/100 | Train: 7484.31014 | Val: 7842.93979 | elapsed 13.5s | GPU 30/24564MB
2026-07-31 16:06:11 [INFO]   [Full] Epoch   6/100 | Train: 6967.05900 | Val: 6394.79527 <- best | elapsed 16.3s | GPU 30/24564MB
2026-07-31 16:06:14 [INFO]   [Full] Epoch   7/100 | Train: 6479.07890 | Val: 6004.59475 <- best | elapsed 19.0s | GPU 30/24564MB
2026-07-31 16:06:17 [INFO]   [Full] Epoch   8/100 | Train: 6189.23906 | Val: 6504.96424 | elapsed 21.9s | GPU 30/24564MB
2026-07-31 16:06:20 [INFO]   [Full] Epoch   9/100 | Train: 6048.03031 | Val: 5848.33453 <- best | elapsed 24.8s | GPU 30/24564MB
2026-07-31 16:06:23 [INFO]   [Full] Epoch  10/100 | Train: 5775.16843 | Val: 5912.78596 | elapsed 27.7s | GPU 30/24564MB
2026-07-31 16:06:25 [INFO]   [Full] Epoch  11/100 | Train: 5676.46346 | Val: 5668.69153 <- best | elapsed 30.6s | GPU 30/24564MB
2026-07-31 16:06:28 [INFO]   [Full] Epoch  12/100 | Train: 5475.39693 | Val: 5768.72516 | elapsed 33.4s | GPU 30/24564MB
2026-07-31 16:06:31 [INFO]   [Full] Epoch  13/100 | Train: 5432.27925 | Val: 6156.56370 | elapsed 36.2s | GPU 30/24564MB
2026-07-31 16:06:34 [INFO]   [Full] Epoch  14/100 | Train: 5412.18433 | Val: 5438.43606 <- best | elapsed 39.0s | GPU 30/24564MB
2026-07-31 16:06:37 [INFO]   [Full] Epoch  15/100 | Train: 5167.44553 | Val: 5571.04218 | elapsed 41.8s | GPU 30/24564MB
2026-07-31 16:06:40 [INFO]   [Full] Epoch  16/100 | Train: 5104.52635 | Val: 5494.07879 | elapsed 44.8s | GPU 30/24564MB
2026-07-31 16:06:42 [INFO]   [Full] Epoch  17/100 | Train: 5005.74600 | Val: 5297.38557 <- best | elapsed 47.7s | GPU 30/24564MB
2026-07-31 16:06:45 [INFO]   [Full] Epoch  18/100 | Train: 4963.79818 | Val: 5064.58445 <- best | elapsed 50.5s | GPU 30/24564MB
2026-07-31 16:06:48 [INFO]   [Full] Epoch  19/100 | Train: 4986.71887 | Val: 5348.36655 | elapsed 53.3s | GPU 30/24564MB
2026-07-31 16:06:51 [INFO]   [Full] Epoch  20/100 | Train: 4849.33288 | Val: 4927.80750 <- best | elapsed 56.1s | GPU 30/24564MB
2026-07-31 16:06:53 [INFO]   [Full] Epoch  21/100 | Train: 4714.56936 | Val: 5057.40116 | elapsed 58.4s | GPU 30/24564MB
2026-07-31 16:06:56 [INFO]   [Full] Epoch  22/100 | Train: 4760.15382 | Val: 5261.16415 | elapsed 61.2s | GPU 30/24564MB
2026-07-31 16:06:58 [INFO]   [Full] Epoch  23/100 | Train: 4644.25648 | Val: 4957.73450 | elapsed 63.7s | GPU 30/24564MB
2026-07-31 16:07:01 [INFO]   [Full] Epoch  24/100 | Train: 4628.49929 | Val: 4907.22247 <- best | elapsed 66.3s | GPU 30/24564MB
