2026-07-31 14:36:17 [INFO] === baseline_lstm  run_dir=C:\Users\user\Desktop\ansyu_li\tree_former\runs\20260731_143558 ===
2026-07-31 14:36:17 [INFO] Device: cuda
2026-07-31 14:36:17 [INFO] 
============================================================
  Each-Grid LSTM (Small)
============================================================
2026-07-31 14:36:17 [INFO]   Params: 369.9K
2026-07-31 14:36:20 [INFO]   [Each-Grid LSTM (Small)] Epoch   1/100 | Train: 0.64062 | Val: 0.32062 <- best | elapsed 2.1s | GPU 24/24564MB
2026-07-31 14:36:21 [INFO]   [Each-Grid LSTM (Small)] Epoch   2/100 | Train: 0.18633 | Val: 0.16848 <- best | elapsed 3.7s | GPU 24/24564MB
2026-07-31 14:36:23 [INFO]   [Each-Grid LSTM (Small)] Epoch   3/100 | Train: 0.12693 | Val: 0.13304 <- best | elapsed 5.6s | GPU 24/24564MB
2026-07-31 14:36:25 [INFO]   [Each-Grid LSTM (Small)] Epoch   4/100 | Train: 0.10890 | Val: 0.11955 <- best | elapsed 7.3s | GPU 24/24564MB
2026-07-31 14:36:27 [INFO]   [Each-Grid LSTM (Small)] Epoch   5/100 | Train: 0.10124 | Val: 0.11427 <- best | elapsed 9.1s | GPU 24/24564MB
2026-07-31 14:36:28 [INFO]   [Each-Grid LSTM (Small)] Epoch   6/100 | Train: 0.09748 | Val: 0.11211 <- best | elapsed 10.8s | GPU 24/24564MB
2026-07-31 14:36:30 [INFO]   [Each-Grid LSTM (Small)] Epoch   7/100 | Train: 0.09522 | Val: 0.11040 <- best | elapsed 12.4s | GPU 24/24564MB
2026-07-31 14:36:32 [INFO]   [Each-Grid LSTM (Small)] Epoch   8/100 | Train: 0.09359 | Val: 0.10845 <- best | elapsed 14.0s | GPU 24/24564MB
2026-07-31 14:36:33 [INFO]   [Each-Grid LSTM (Small)] Epoch   9/100 | Train: 0.09227 | Val: 0.10813 <- best | elapsed 15.7s | GPU 24/24564MB
2026-07-31 14:36:35 [INFO]   [Each-Grid LSTM (Small)] Epoch  10/100 | Train: 0.09116 | Val: 0.10695 <- best | elapsed 17.3s | GPU 24/24564MB
2026-07-31 14:36:36 [INFO]   [Each-Grid LSTM (Small)] Epoch  11/100 | Train: 0.09018 | Val: 0.10630 <- best | elapsed 18.9s | GPU 24/24564MB
2026-07-31 14:36:38 [INFO]   [Each-Grid LSTM (Small)] Epoch  12/100 | Train: 0.08928 | Val: 0.10557 <- best | elapsed 20.6s | GPU 24/24564MB
2026-07-31 14:36:40 [INFO]   [Each-Grid LSTM (Small)] Epoch  13/100 | Train: 0.08845 | Val: 0.10470 <- best | elapsed 22.2s | GPU 24/24564MB
2026-07-31 14:36:41 [INFO]   [Each-Grid LSTM (Small)] Epoch  14/100 | Train: 0.08770 | Val: 0.10375 <- best | elapsed 23.9s | GPU 24/24564MB
2026-07-31 14:36:43 [INFO]   [Each-Grid LSTM (Small)] Epoch  15/100 | Train: 0.08706 | Val: 0.10382 | elapsed 25.5s | GPU 24/24564MB
2026-07-31 14:36:45 [INFO]   [Each-Grid LSTM (Small)] Epoch  16/100 | Train: 0.08631 | Val: 0.10251 <- best | elapsed 27.1s | GPU 24/24564MB
2026-07-31 14:36:46 [INFO]   [Each-Grid LSTM (Small)] Epoch  17/100 | Train: 0.08568 | Val: 0.10208 <- best | elapsed 28.7s | GPU 24/24564MB
2026-07-31 14:36:48 [INFO]   [Each-Grid LSTM (Small)] Epoch  18/100 | Train: 0.08511 | Val: 0.10214 | elapsed 30.3s | GPU 24/24564MB
2026-07-31 14:36:50 [INFO]   [Each-Grid LSTM (Small)] Epoch  19/100 | Train: 0.08452 | Val: 0.10111 <- best | elapsed 32.5s | GPU 24/24564MB
2026-07-31 14:36:52 [INFO]   [Each-Grid LSTM (Small)] Epoch  20/100 | Train: 0.08396 | Val: 0.10104 <- best | elapsed 34.2s | GPU 24/24564MB
2026-07-31 14:36:54 [INFO]   [Each-Grid LSTM (Small)] Epoch  21/100 | Train: 0.08342 | Val: 0.10041 <- best | elapsed 36.2s | GPU 24/24564MB
2026-07-31 14:36:55 [INFO]   [Each-Grid LSTM (Small)] Epoch  22/100 | Train: 0.08282 | Val: 0.09973 <- best | elapsed 37.9s | GPU 24/24564MB
2026-07-31 14:36:57 [INFO]   [Each-Grid LSTM (Small)] Epoch  23/100 | Train: 0.08236 | Val: 0.09942 <- best | elapsed 39.5s | GPU 24/24564MB
2026-07-31 14:36:59 [INFO]   [Each-Grid LSTM (Small)] Epoch  24/100 | Train: 0.08192 | Val: 0.09941 <- best | elapsed 41.1s | GPU 24/24564MB
2026-07-31 14:37:00 [INFO]   [Each-Grid LSTM (Small)] Epoch  25/100 | Train: 0.08147 | Val: 0.09916 <- best | elapsed 42.7s | GPU 24/24564MB
2026-07-31 14:37:02 [INFO]   [Each-Grid LSTM (Small)] Epoch  26/100 | Train: 0.08098 | Val: 0.09850 <- best | elapsed 44.5s | GPU 24/24564MB
2026-07-31 14:37:04 [INFO]   [Each-Grid LSTM (Small)] Epoch  27/100 | Train: 0.08058 | Val: 0.09863 | elapsed 46.4s | GPU 24/24564MB
2026-07-31 14:37:06 [INFO]   [Each-Grid LSTM (Small)] Epoch  28/100 | Train: 0.08023 | Val: 0.09820 <- best | elapsed 48.0s | GPU 24/24564MB
2026-07-31 14:37:07 [INFO]   [Each-Grid LSTM (Small)] Epoch  29/100 | Train: 0.07984 | Val: 0.09832 | elapsed 49.7s | GPU 24/24564MB
2026-07-31 14:37:09 [INFO]   [Each-Grid LSTM (Small)] Epoch  30/100 | Train: 0.07947 | Val: 0.09809 <- best | elapsed 51.3s | GPU 24/24564MB
2026-07-31 14:37:10 [INFO]   [Each-Grid LSTM (Small)] Epoch  31/100 | Train: 0.07915 | Val: 0.09821 | elapsed 52.9s | GPU 24/24564MB
2026-07-31 14:37:12 [INFO]   [Each-Grid LSTM (Small)] Epoch  32/100 | Train: 0.07881 | Val: 0.09731 <- best | elapsed 54.5s | GPU 24/24564MB
2026-07-31 14:37:14 [INFO]   [Each-Grid LSTM (Small)] Epoch  33/100 | Train: 0.07855 | Val: 0.09736 | elapsed 56.1s | GPU 24/24564MB
2026-07-31 14:37:15 [INFO]   [Each-Grid LSTM (Small)] Epoch  34/100 | Train: 0.07825 | Val: 0.09738 | elapsed 57.9s | GPU 24/24564MB
2026-07-31 14:37:17 [INFO]   [Each-Grid LSTM (Small)] Epoch  35/100 | Train: 0.07797 | Val: 0.09732 | elapsed 59.5s | GPU 24/24564MB
2026-07-31 14:37:19 [INFO]   [Each-Grid LSTM (Small)] Epoch  36/100 | Train: 0.07772 | Val: 0.09686 <- best | elapsed 61.4s | GPU 24/24564MB
2026-07-31 14:37:21 [INFO]   [Each-Grid LSTM (Small)] Epoch  37/100 | Train: 0.07737 | Val: 0.09620 <- best | elapsed 63.0s | GPU 24/24564MB
2026-07-31 14:37:22 [INFO]   [Each-Grid LSTM (Small)] Epoch  38/100 | Train: 0.07713 | Val: 0.09691 | elapsed 64.6s | GPU 24/24564MB
2026-07-31 14:37:24 [INFO]   [Each-Grid LSTM (Small)] Epoch  39/100 | Train: 0.07684 | Val: 0.09652 | elapsed 66.2s | GPU 24/24564MB
2026-07-31 14:37:25 [INFO]   [Each-Grid LSTM (Small)] Epoch  40/100 | Train: 0.07663 | Val: 0.09695 | elapsed 67.9s | GPU 24/24564MB
2026-07-31 14:37:27 [INFO]   [Each-Grid LSTM (Small)] Epoch  41/100 | Train: 0.07639 | Val: 0.09604 <- best | elapsed 69.5s | GPU 24/24564MB
2026-07-31 14:37:29 [INFO]   [Each-Grid LSTM (Small)] Epoch  42/100 | Train: 0.07613 | Val: 0.09655 | elapsed 71.1s | GPU 24/24564MB
2026-07-31 14:37:30 [INFO]   [Each-Grid LSTM (Small)] Epoch  43/100 | Train: 0.07593 | Val: 0.09660 | elapsed 72.7s | GPU 24/24564MB
2026-07-31 14:37:32 [INFO]   [Each-Grid LSTM (Small)] Epoch  44/100 | Train: 0.07563 | Val: 0.09574 <- best | elapsed 74.3s | GPU 24/24564MB
2026-07-31 14:37:33 [INFO]   [Each-Grid LSTM (Small)] Epoch  45/100 | Train: 0.07548 | Val: 0.09619 | elapsed 75.9s | GPU 24/24564MB
2026-07-31 14:37:35 [INFO]   [Each-Grid LSTM (Small)] Epoch  46/100 | Train: 0.07526 | Val: 0.09644 | elapsed 77.5s | GPU 24/24564MB
2026-07-31 14:37:37 [INFO]   [Each-Grid LSTM (Small)] Epoch  47/100 | Train: 0.07504 | Val: 0.09605 | elapsed 79.2s | GPU 24/24564MB
2026-07-31 14:37:38 [INFO]   [Each-Grid LSTM (Small)] Epoch  48/100 | Train: 0.07483 | Val: 0.09626 | elapsed 80.7s | GPU 24/24564MB
2026-07-31 14:37:40 [INFO]   [Each-Grid LSTM (Small)] Epoch  49/100 | Train: 0.07462 | Val: 0.09580 | elapsed 82.4s | GPU 24/24564MB
2026-07-31 14:37:42 [INFO]   [Each-Grid LSTM (Small)] Epoch  50/100 | Train: 0.07443 | Val: 0.09565 <- best | elapsed 84.0s | GPU 24/24564MB
2026-07-31 14:37:43 [INFO]   [Each-Grid LSTM (Small)] Epoch  51/100 | Train: 0.07423 | Val: 0.09622 | elapsed 85.7s | GPU 24/24564MB
2026-07-31 14:37:45 [INFO]   [Each-Grid LSTM (Small)] Epoch  52/100 | Train: 0.07406 | Val: 0.09570 | elapsed 87.3s | GPU 24/24564MB
2026-07-31 14:37:46 [INFO]   [Each-Grid LSTM (Small)] Epoch  53/100 | Train: 0.07387 | Val: 0.09544 <- best | elapsed 88.9s | GPU 24/24564MB
