2026-07-31 15:01:16 [INFO] === baseline_reformer  run_dir=C:\Users\user\Desktop\ansyu_li\tree_former\runs\20260731_143558 ===
2026-07-31 15:01:16 [INFO] Device: cuda
2026-07-31 15:01:16 [INFO] 
============================================================
  All-Grid Reformer (Base)
============================================================
2026-07-31 15:01:16 [INFO]   Params: 23.4K
2026-07-31 15:01:29 [INFO]   [All-Grid Reformer (Base)] Epoch   1/100 | Train: 0.16415 | Val: 0.13421 <- best | elapsed 12.2s | GPU 24/24564MB
2026-07-31 15:01:41 [INFO]   [All-Grid Reformer (Base)] Epoch   2/100 | Train: 0.13322 | Val: 0.12378 <- best | elapsed 24.0s | GPU 23/24564MB
2026-07-31 15:01:53 [INFO]   [All-Grid Reformer (Base)] Epoch   3/100 | Train: 0.12633 | Val: 0.12039 <- best | elapsed 35.9s | GPU 23/24564MB
2026-07-31 15:02:04 [INFO]   [All-Grid Reformer (Base)] Epoch   4/100 | Train: 0.12335 | Val: 0.11756 <- best | elapsed 47.8s | GPU 23/24564MB
2026-07-31 15:02:16 [INFO]   [All-Grid Reformer (Base)] Epoch   5/100 | Train: 0.12060 | Val: 0.11604 <- best | elapsed 59.6s | GPU 23/24564MB
2026-07-31 15:02:28 [INFO]   [All-Grid Reformer (Base)] Epoch   6/100 | Train: 0.11793 | Val: 0.11523 <- best | elapsed 71.5s | GPU 23/24564MB
2026-07-31 15:02:40 [INFO]   [All-Grid Reformer (Base)] Epoch   7/100 | Train: 0.11643 | Val: 0.11483 <- best | elapsed 83.4s | GPU 23/24564MB
2026-07-31 15:02:52 [INFO]   [All-Grid Reformer (Base)] Epoch   8/100 | Train: 0.11555 | Val: 0.11750 | elapsed 95.2s | GPU 23/24564MB
2026-07-31 15:03:04 [INFO]   [All-Grid Reformer (Base)] Epoch   9/100 | Train: 0.11492 | Val: 0.11297 <- best | elapsed 107.1s | GPU 23/24564MB
2026-07-31 15:03:16 [INFO]   [All-Grid Reformer (Base)] Epoch  10/100 | Train: 0.11459 | Val: 0.11395 | elapsed 118.9s | GPU 23/24564MB
2026-07-31 15:03:27 [INFO]   [All-Grid Reformer (Base)] Epoch  11/100 | Train: 0.11306 | Val: 0.11294 <- best | elapsed 130.7s | GPU 23/24564MB
2026-07-31 15:03:39 [INFO]   [All-Grid Reformer (Base)] Epoch  12/100 | Train: 0.11252 | Val: 0.11220 <- best | elapsed 142.5s | GPU 23/24564MB
2026-07-31 15:03:51 [INFO]   [All-Grid Reformer (Base)] Epoch  13/100 | Train: 0.11241 | Val: 0.11319 | elapsed 154.3s | GPU 23/24564MB
2026-07-31 15:04:03 [INFO]   [All-Grid Reformer (Base)] Epoch  14/100 | Train: 0.11166 | Val: 0.11247 | elapsed 166.1s | GPU 23/24564MB
2026-07-31 15:04:15 [INFO]   [All-Grid Reformer (Base)] Epoch  15/100 | Train: 0.11146 | Val: 0.11214 <- best | elapsed 178.0s | GPU 23/24564MB
2026-07-31 15:04:26 [INFO]   [All-Grid Reformer (Base)] Epoch  16/100 | Train: 0.11105 | Val: 0.11315 | elapsed 189.8s | GPU 23/24564MB
2026-07-31 15:04:38 [INFO]   [All-Grid Reformer (Base)] Epoch  17/100 | Train: 0.11070 | Val: 0.11185 <- best | elapsed 201.7s | GPU 23/24564MB
2026-07-31 15:04:50 [INFO]   [All-Grid Reformer (Base)] Epoch  18/100 | Train: 0.11027 | Val: 0.11202 | elapsed 213.5s | GPU 23/24564MB
2026-07-31 15:05:02 [INFO]   [All-Grid Reformer (Base)] Epoch  19/100 | Train: 0.11039 | Val: 0.11040 <- best | elapsed 225.3s | GPU 23/24564MB
2026-07-31 15:05:14 [INFO]   [All-Grid Reformer (Base)] Epoch  20/100 | Train: 0.10968 | Val: 0.11222 | elapsed 237.1s | GPU 23/24564MB
2026-07-31 15:05:26 [INFO]   [All-Grid Reformer (Base)] Epoch  21/100 | Train: 0.10967 | Val: 0.11204 | elapsed 248.8s | GPU 23/24564MB
2026-07-31 15:05:37 [INFO]   [All-Grid Reformer (Base)] Epoch  22/100 | Train: 0.10932 | Val: 0.11087 | elapsed 260.6s | GPU 23/24564MB
2026-07-31 15:05:49 [INFO]   [All-Grid Reformer (Base)] Epoch  23/100 | Train: 0.10906 | Val: 0.11021 <- best | elapsed 272.4s | GPU 23/24564MB
2026-07-31 15:06:01 [INFO]   [All-Grid Reformer (Base)] Epoch  24/100 | Train: 0.10877 | Val: 0.10983 <- best | elapsed 284.2s | GPU 23/24564MB
2026-07-31 15:06:13 [INFO]   [All-Grid Reformer (Base)] Epoch  25/100 | Train: 0.10833 | Val: 0.10954 <- best | elapsed 296.0s | GPU 23/24564MB
2026-07-31 15:06:24 [INFO]   [All-Grid Reformer (Base)] Epoch  26/100 | Train: 0.10817 | Val: 0.11000 | elapsed 307.8s | GPU 23/24564MB
2026-07-31 15:06:36 [INFO]   [All-Grid Reformer (Base)] Epoch  27/100 | Train: 0.10794 | Val: 0.11137 | elapsed 319.6s | GPU 23/24564MB
2026-07-31 15:06:48 [INFO]   [All-Grid Reformer (Base)] Epoch  28/100 | Train: 0.10777 | Val: 0.11206 | elapsed 331.4s | GPU 23/24564MB
